id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
2,"We are excited to announce Bayo (Olubayo) Adekanmbi, Founder & Lead Consultant for DSN - Data Scientists Network /Data Science Nigeria/  will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/15/2022 20:00,3/15/2022 20:00,0,3,3,0,0,0,0,0,3
3,"We are excited to announce Ciira Maina, Organising Committee Member from Data Science Africa, will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/15/2022 16:00,3/15/2022 16:00,0,5,5,0,0,0,0,0,5
4,"We are excited to announce Maciej Kaliszka, Head of Analytics (Corporate and Investment Banking, Pan-Africa) for Absa South Africa, will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/14/2022 20:00,3/14/2022 20:00,0,4,4,0,0,0,0,0,4
5,"We are delighted to announce Moustapha Cisse, Research Scientist & Head of Google AI Center Accra, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup  #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/14/2022 16:00,3/14/2022 16:00,0,18,18,0,0,0,0,0,18
6,There are only six days left until UmojaHack Africa kicks off and we’re so excited! 🎉  Make sure you’ve signed up to the competition and accessed the practice challenges!  👉 http://bit.ly/uha22-signup  👉 https://bit.ly/uha22-comps #UmojaHackAfrica2022 #BuildingAITogether #KeepLearning,3/14/2022 10:00,3/14/2022 10:00,0,6,6,0,0,0,0,0,6
7,"We are delighted to announce Kate Kallott, Director, Head of Global Developer Relations & Emerging Areas at NVIDIA AI, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup  #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 20:00,3/11/2022 20:00,0,8,7,1,0,0,0,0,7
8,"We are delighted to announce Gavin Cope, Chief Data Officer at Absa South Africa, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 16:00,3/11/2022 16:08,1,7,7,0,0,0,0,0,7
9,"Our Advanced level UmojaHack Africa challenge has been released! 🎉✨ In this challenge, you’ll build a machine learning model to help InstaDeep predict what other snake venom toxins a given antivenom could be effective against!  Click here to find out more 👉https://bit.ly/uha22-comps Sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 10:00,3/11/2022 10:00,0,6,6,0,0,0,0,0,6
10,"We are delighted to announce Karim Beguir, Co-Founder and CEO of InstaDeep, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #BuildingAITogether",3/10/2022 20:25,3/10/2022 20:25,0,12,12,0,0,0,0,0,12
11,🎉We are excited to announce that NVIDIA AI is our Gold sponsor for UmojaHack Africa!🎉Let’s support the next generation of Tech and AI leaders together. #ZindiHack #BuildingAITogether #KeepLearning,3/10/2022 16:00,3/10/2022 16:00,0,7,7,0,0,0,0,0,7
12,"🎉Announcing our Platinum sponsor, EXPLORE Data Science Academy! 🎉We are so excited to be working with you on UmojaHack Africa 2022, the largest inter-university hackathon in Africa! Let’s support the next generation of Tech and AI leaders together. #BuildingAITogether #KeepLearning #ZindiHack",3/9/2022 16:00,3/9/2022 20:50,1,6,6,0,0,0,0,0,6
13,Our Beginner level UmojaHack Africa challenge has been released! Help AirQo's air quality sensing network in Uganda by building a model that classifies a faulty sensor! Next week you’ll get the chance to find out! Click here to find out more 👉https://bit.ly/uha22-comps Sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #KeepWinning,3/9/2022 10:00,3/9/2022 10:00,0,8,8,0,0,0,0,0,8
14,"The UmojaHack Africa challenges have been released! 🎉🚀 Get ready to compete, Africa’s future data scientists and AI leaders! Click here to find out more 👉https://bit.ly/uha22-comps Sign up here👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/8/2022 10:00,3/8/2022 10:00,0,8,8,0,0,0,0,0,8
15,"UmojaHack Africa 2022 is just around the corner! Zindi Ambassador John Njeru has put something special together to help you have a better chance at winning! 😁🚀 #UMH22, #UmojaHackAfrica2022 Register  now👉https://bit.ly/3hPsKcY",3/7/2022 16:00,3/7/2022 16:00,0,4,4,0,0,0,0,0,4
16,And here are the your winners for the East African Virtual ML Hackathon that took place last month! 😁🎉Well done and congratulations! #KeepLearning #KeepWinning #BuildingAITogether,3/4/2022 16:00,3/4/2022 16:33,1,13,11,2,0,0,0,0,11
17,"The countdown is on to secure your place in UmojaHack Africa 2022, Africa’s biggest inter-university hackathon! 👏 Sign up today and join thousands of students from across the continent to solve some of the world’s most pressing challenges.  http://bit.ly/uha22-signup #UHA22 #ZindiHack #BuildingAITogether #KeepLearning",3/4/2022 10:00,3/4/2022 10:00,0,5,4,1,0,0,0,0,4
18,Still thinking about whether you should participate in #UmojaHackAfrica2022? 👀 2021 winner Tony Mipawa tells you why you should join Zindi for this year's UmojaHack Africa. 😁🎉 #KeepLearning👉https://bit.ly/3KgYd3Z,3/3/2022 16:48,3/3/2022 16:48,0,4,4,0,0,0,0,0,4
19,The next installment is here! First you learned how to write a CV and now you will learn exactly which skills potential employers look for when hiring 😁🚀 Coming soon! #BeatTheBenchmark #BeATrailblazer Register now👉https://bit.ly/3IC2dff,3/2/2022 16:00,3/2/2022 16:00,0,8,7,1,0,0,0,0,7
20,"🎉 Sneak peek! 🎉UmojaHack Africa is about building skills and creating new machine learning applications to solve problems that really matter. 👋 To help you get a headstart for the competition, here is a taster of what a challenge might be like! Let’s get ready for the hack!  #UmojaHackAfrica2022 #UHA22 #KeepLearning Practice👉https://bit.ly/3M7wNj7",3/1/2022 10:00,3/1/2022 10:00,0,4,4,0,0,0,0,0,4
21,"🎉🎉We’re excited to announce DeepMind as our Gold sponsor for UmojaHack Africa 2022. 🎉Our aim is to support the next generation of tech and AI leaders in Africa, and we’re delighted to have you on board to do this with us! #UHA22 #ZindiHack #BuildingAITogether 👉https://invtdu.to/_jnw30",2/25/2022 10:00,2/25/2022 10:00,0,10,9,1,0,0,0,0,9
22,Here is a simple How-To-Guide on downloading data files from Zindi to Colab! This is a good one! ✨ #KeepLearning👉https://bit.ly/3IjNXaO,2/24/2022 20:02,2/24/2022 20:02,0,2,2,0,0,0,0,0,2
23,"Sign up today to take part in UmojaHack Africa! 👏  Join hundreds of students as they compete to help solve Africa’s challenges through the power of data science. What are you waiting for, register now. 👇  bit.ly/uha22-signup  Saturday 19th - Sunday 20th March 2022.  #UmojaHackAfrica2022 #ZindiHack",2/24/2022 10:00,2/24/2022 10:00,0,9,7,2,0,0,0,0,7
24,🎉We’re delighted to announce InstaDeep as our Diamond sponsor for UmojaHack Africa 2022. 🎉Welcome onboard! We’re excited to be working together on Africa’s biggest inter-university hackathon! #UHA22 #ZindiHack #BuildingAITogether #KeepLearning Sign up👉https://invtdu.to/_jnw30,2/23/2022 10:00,2/23/2022 10:00,0,8,5,3,0,0,0,0,5
25,"Speaker confirmed! ✨ Zindi's own Data Ninja, Amy Bray, will have a speaking slot at the Yielding Accomplished African Women Launch Your Career Conference! Have you booked your spot yet? 😁",2/22/2022 16:31,2/22/2022 16:31,0,5,5,0,0,0,0,0,5
26,"Part 2 of the Art of CV Writing for the Data Professional is coming up! 😁✨ Jennifer Oyelade takes you through the a live demo, and give you a chance to share your 1st drafts! Don't be shy! Register now👉https://bit.ly/33BZ9Ax",2/21/2022 16:00,2/21/2022 16:00,0,5,5,0,0,0,0,0,5
28,"We are excited to announce ABSA Bank, our platinum sponsor for UmojaHack Africa 2022! Machine learning and artificial intelligence are key for the rejuvenation of Africa’s economies and we are delighted to have Absa South Africa on board to help us do this. 👏 #UmojaHackAfrica2022 #BuildingAITogether #UHA22 #ZindiHack  Sign up👉http://bit.ly/uha22-signup",2/18/2022 10:00,2/18/2022 10:00,0,3,3,0,0,0,0,0,3
29,"What is Root Mean Square Error (RMSE)? When working on a machine learning project, choosing the right error or evaluation metric is critical, and this blog tell you why, and how to use it. 🤩 #KeepLearning👉https://bit.ly/36nwhNp",2/17/2022 18:40,2/18/2022 17:20,1,4,4,0,0,0,0,0,4
30,"The UmojaHack is back! 👏  We are excited to announce UmojaHack Africa is taking place from 19-20 March 2022.  Book your spot today to join our community of Zindians, and help solve Africa's challenges through the power of data science. Click the link below. 👇 bit.ly/uha22-signup #UmojaHackAfrica2022 #BuildingAITogether #KeepLearning #ZindiHack",2/17/2022 10:00,2/22/2022 22:56,1,5,4,1,0,0,0,0,4
31,"This year’s Launch Your Career Conference, in Collaboration with Yielding Accomplished African Women, we are proud to announce the She Solves Hackathon: From Ideas to Solutions.  We invite all Black College Women to join us solve pressing issues that affect black women using Data Science and Machine Learning👩🏽‍💻.  And don’t worry if you don’t have any skills in data science as that’s the goal of this hackathon. It’s an opportunity to learn a new skill, while solving problems. Sounds fun right🤩?  Further details of the Hackathon will be shared during the Launch Your Career Conference, and it will officially begin right after the conference spanning a 1 week period.  The winners 🏆 will be announced and recognized during the International Women’s Day Celebration in March.  Get ready for this amazing challenge. It promises to be exciting.  If you missed the registration deadline for Launch, don’t worry join our waitlist and you can still be admitted. Sign up now here or with the link in our bio: http://linktr.ee/accomplishedafricanwomen  Don’t be left out📌  #yaaw #WIML #spreadtheword #yaashedid #tech #finance #blackcollegewomen #womenempowerment #womenintech #datascience #blackhistorymonth #knust #unilag #ug #hbcus 7m",2/16/2022 17:02,2/16/2022 17:02,0,2,2,0,0,0,0,0,2
32,"Being a good data scientist is not just about building intricate machine learning models. Among other things, it is about mastering the ability to analyse data. This blog will tell you more on how to be the best data scientist you can be! 👀😊🔥 Read more👉https://bit.ly/3uPzfnU",2/15/2022 16:06,2/15/2022 16:06,0,7,7,0,0,0,0,0,7
33,"Speaker announcement! Join us this Friday 18th Feb, at 2pm EAT as we host an open session for EA hackathon with AI Researcher, Kathleen Siminyu (@siminyu_kat), to learn applications of NLP to African low-resource languages & available opportunities 🚀😁 Register now 👉https://bit.ly/EAHackathon2022",2/14/2022 16:00,2/14/2022 16:00,0,2,2,0,0,0,0,0,2
34,Registration closes tomorrow! Claim your spot now 🚀✨,2/12/2022 9:45,2/12/2022 9:45,0,2,2,0,0,0,0,0,2
35,"Have you registered yet? Join us today at 2pm EAT, as we host Zindi’s data science recruiter in a career development workshop on mastering the art of CV writing. 😁🤩 Register👉https://bit.ly/3IvwrA6 #careerdevelopment #cvwriting #datascience",2/12/2022 9:40,2/12/2022 9:40,0,2,2,0,0,0,0,0,2
36,"If you missed the Google NLP Hack Series: Africa Automatic Speech Recognition (ASR) Workshop, or haven't enrolled in one of the 2 challenges, here is your friendly reminder to do so now! Learn, Grow, & Build ASR in Africa! 🚀✨ Enrol (west africa only)👉bit.ly/westafricaasrchallenge Enrol👉bit.ly/introtoasrafricachallenge Tune in to the workshop👉https://youtu.be/eCWR86Net-s",2/11/2022 16:00,2/11/2022 16:00,0,3,3,0,0,0,0,0,3
37,"Zindians unite, UmojaHack Africa is back! 👏🎉  Do you want to build AI with fellow Zindians, finesse your skills, and help solve Africa's problems through the power of data science? Then click the link below and sign up today! 👇 bit.ly/uha22-signup #UmojaHackAfrica2022 #BuildingAITogether #UHA22 #ZindiHack",2/11/2022 10:00,2/11/2022 12:35,1,15,13,2,0,0,0,0,13
38,,2/10/2022 19:07,2/10/2022 19:07,0,5,3,2,0,0,0,0,3
39,,2/10/2022 19:07,2/10/2022 19:07,0,1,1,0,0,0,0,0,1
40,"A collaboration between Zindi, Mtoto News , Basic Needs Basic Rights Kenya, and Qhala has created a chatbot powered by machine learning that serves as a mental health companion for young people in Kenya! 😁✨ This is how we did it!  Read more👉https://bit.ly/3spoHcg",2/10/2022 18:04,2/10/2022 18:04,0,5,5,0,0,0,0,0,5
41,"Have you registered yet? Join us this Saturday 12th February, at 2pm EAT as we host Zindi’s data science recruiter in a career development workshop on mastering the art of CV writing.  Register Here: https://www.eventbrite.com/e/255756423347  #careerdevelopment #ai #cvwriting #datascience",2/9/2022 11:43,2/9/2022 11:43,0,3,3,0,0,0,0,0,3
42,"Join us on Thurs Feb 10 17:30 CAT for a live webinar with researchers from DeepMind.  They will walk through the starter notebook for the #TurtleRecall challenge and there will be a Q&A session.  Please ask any questions you have about this challenge in the comments, and we will answer them live! Registration link in bio",2/7/2022 18:31,2/7/2022 18:31,0,2,2,0,0,0,0,0,2
43,This is your last chance to register for our West Africa #ASR workshop and hackathon with Google and Data ScienceNigeria this weekend (Saturday 1pm WAT). Registration closes tonight! 👉 https://bit.ly/3JPISZ3,2/4/2022 14:13,2/4/2022 14:13,0,2,2,0,0,0,0,0,2
44,"Here are some easy-to-avoid mistakes you might be making in your data science job search, and how Zindi could help you get your next job. 👀😁 Learn more👉https://bit.ly/3gC9hw9",2/3/2022 16:00,2/3/2022 16:00,0,3,3,0,0,0,0,0,3
45,Just under a month before this challenge closes! Have you made a submission yet? 👀✨ Get on the leaderboard👉https://bit.ly/3DjYPTs,2/1/2022 16:00,2/1/2022 16:00,0,2,2,0,0,0,0,0,2
46,"Have you registered for the Google NLP Hack Series yet? Here is your friendly reminder to #SaveTheDate! 😁🚀 We kick off this series with a speech recognition workshop, this Saturday 2pm SAST. In the meantime, here are the challenges that will follow. Register now👉https://bit.ly/3JPISZ3",1/31/2022 16:00,1/31/2022 16:00,0,7,6,1,0,0,0,0,6
47,Here is your #thursdaytutorial. This week we take a look at using simple machine transaltion on French to Fongbe or Ewe 🤗🤩 Put together for you by data ninja Abid Ali Awan ✨ #KeepLearning👉https://bit.ly/3g3B2x6,1/27/2022 16:00,1/27/2022 16:00,0,1,1,0,0,0,0,0,1
48,"Join Zindi's passionate data science recruiter, Jennifer Oyelade, to learn the secrets, tips and tricks she uses to get data talent hired at Zindi! 😁🚀 Register now👉https://bit.ly/3IvwrA6",1/26/2022 16:03,1/26/2022 16:03,0,3,3,0,0,0,0,0,3
49,,1/25/2022 15:46,1/25/2022 15:46,0,2,2,0,0,0,0,0,2
50,We are happy to invite all data enthusiasts from East Africa to take part in the 2nd Virtual ML Hackathon from 18 - 20 Feb 2022. 🌍✨  The focus will be on building an #NLP model using a Swahili Dataset. 🚀  Register today👉https://bit.ly/EAHackathon2022  Data scientists from students to professionals across East Africa are invited to participate.  Share with your community. 😁❤  #ZindiHack #EastAfricaHack22,1/24/2022 21:00,1/24/2022 21:00,0,12,10,2,0,0,0,0,10
51,"This #WeekendswithZindiKE, we do Exploratory analysis on textual data using our clean dataset from Zindi's Swahili News Classification Hackathon. Join us for another informative session tomorrow at 10am EAT. 😁  Register👉https://bit.ly/33Y1N3q",1/21/2022 15:40,1/21/2022 15:40,0,2,2,0,0,0,0,0,2
52,"If you missed out on yesterday's awesome webinar with the winners of the Radiant Earth Foundation's Spot the Crop Challenges, don't worry! You can read all about their data science journey and how they got their winning solutions in this blog! 😁🚀🌾 #KeepLearning👉https://bit.ly/3GThDuQ",1/20/2022 15:59,1/20/2022 15:59,0,2,2,0,0,0,0,0,2
54,"Registration for the Google NLP Hack Series is open! 🚀 Sign up for the workshop, and challenges, and get ready for an exciting learning experience with Zindi, Google Africa, and DSN - Data Scientists Network /Data Science Nigeria/ 😁 This series will introduce NLP, give you the chance to train ASR models in a beginner-friendly way, and build your own African language datasets. Register today 👉https://bit.ly/3JPISZ3  #GoogleZindiASRHack #WAHack #BuildingAITogether",1/20/2022 13:00,1/20/2022 15:06,1,14,14,0,0,0,0,0,14
55,,1/19/2022 11:45,1/19/2022 11:45,0,2,2,0,0,0,0,0,2
56,How are you doing in #TurtleRecall? 👀😉 Have you made it on the leaderboard yet? 2 months to go!! Just keep swimming! 🌊 Make an impact👉https://bit.ly/3qR4PQg,1/18/2022 16:00,1/18/2022 16:00,0,1,1,0,0,0,0,0,1
57,"Join Radiant Earth Foundation on Wed, Jan 19, for a live webinar. 🤩🚀 The #SpotTheCrop Data Challenge first place winners will present their solutions to predict crop types in the Western Cape region of #SouthAfrica, followed by Q&A. 🌾🌍 Register👉https://bit.ly/3Idi0Ra",1/17/2022 16:00,1/17/2022 16:00,0,3,3,0,0,0,0,0,3
58,"We team up with several universities to prepare the Zindians for the EA Hackathon, through a series of workshops in the month of January. 😁🤩 Using the Swahili News Classification Challenge, learn how to preprocess NLP data tomorrow at 10am EAT. Be there! 🚀  #KeepLearning #KeepWinning  Register now👉https://bit.ly/3txiVrz",1/14/2022 16:00,1/14/2022 16:00,0,15,14,1,0,0,0,0,14
59,"Its the beginning of the year and we are all about our beginners! 😁🤩 Here is yet another great tutorial by Abid Ali Awan, where you can learn and get started with text classification with the AI4D Malawi News Classification Challenge. 🚀 #KeepLearning👉https://bit.ly/3tpZPn8",1/13/2022 16:05,1/13/2022 16:17,1,6,5,1,0,0,0,0,5
60,We are super excited to share that our friend at ML Contests have a shiny new discord channel serving as a useful meeting point for the competitive ML community! 😁🚀 Check it out👉https://bit.ly/3f5S90O,1/11/2022 10:00,1/12/2022 17:00,1,6,6,0,0,0,0,0,6
61,,1/11/2022 9:29,1/11/2022 9:29,0,5,5,0,0,0,0,0,5
62,"So much can happen in a year, and we are so proud of our Zindians who contribute to making impact where it matters most! 🤩 We have big things coming in 2022! 🚀 Lets #KeepLearning #KeepWinning #BuildingAITogether",1/11/2022 9:29,1/11/2022 9:29,0,1,1,0,0,0,0,0,1
63,Hack the continent with Google and Zindi in the Open Buildings Challenge! 😁🌍 Use data science to extract useful insights from the dataset. #KeepLearning #KeepWinning #BuildingAITogether  Enrol now👉https://bit.ly/33cz6zf,1/10/2022 16:00,1/10/2022 16:00,0,12,12,0,0,0,0,0,12
64,"Check out this awesome and useful cheat sheet for all your data science needs! We know it can be hard to remember all those functions, operations and formulas for each concept, so come and grab your very own bag of tips and tricks! 🤩😁 Check it out👉https://bit.ly/3JM9r0Y",1/7/2022 16:00,1/7/2022 16:00,0,5,5,0,0,0,0,0,5
65,"New year, same pandemic. 👀 Remember the Spot the Mask Challenge? Here is the deep learning approach. Check out this awesome tutorial, learn more about deep learning for computer vision, and enter your first #ZindiChallenge today! 😁🚀 #KeepLearning👉https://bit.ly/3eW8eGn",1/6/2022 16:00,1/6/2022 16:00,0,10,10,0,0,0,0,0,10
66,We are super excited to bring you a great chance to learn more about automatic speech recognition (ASR) modeling by joining the workshops & challenges led by Google Africa linguists and NLP experts - all part of a collaborative hack series in the month of February!  🤩🚀 More details to follow! #GoogleZindiASRHack #WAHack #BuildingAITogether,1/5/2022 16:00,1/5/2022 16:00,0,8,8,0,0,0,0,0,8
67,#WCW Join the conversation tomorrow with women leaders in AI to explore common challenges and share actionable strategies organizations can take to fuel innovation and equality. ✨🚀 Register👉https://bit.ly/3sUPQWw,1/5/2022 10:00,1/5/2022 10:00,0,5,5,0,0,0,0,0,5
68,"Here is some good news to kick off 2022! Machine learning has been applied to reduce food waste, and Foodoo.ai are the masterminds behind it! 😁🌾   Check it out👉https://bit.ly/3HCh7ku",1/4/2022 16:00,1/4/2022 16:00,0,2,2,0,0,0,0,0,2
69,We hope everybody in the #Zindiverse enjoyed their holiday! Time to get back in the lab! 😁🚀 Just under 2 months to go for the Task Mate KSL Classification Challenge! Are you on the leaderboard yet? 👀 Make an impact👉https://bit.ly/3DjYPTs,1/3/2022 16:00,1/3/2022 16:00,0,5,5,0,0,0,0,0,5
70,"Wow! What a difference a year makes! 👀 2021 was a big year at Zindi! We passed 30k users and our team has doubled in size. We got a new look and a new brand when we relaunched the platform based on feedback from you, our community! ❤ We couldn't be more grateful. Here is to another year of #BuildingAITogether and making AI accessible to everyone 🚀 #KeepLearning #KeepWinning",12/31/2021 16:00,12/31/2021 16:00,0,3,3,0,0,0,0,0,3
71,#ThrowbackThursday Improve your machine learning model performance with this simple trick! 😁👀 Check out the Improve ML model performance by combining categorical features tutorial on Zindi! #KeepLearning👉https://bit.ly/30vS7f6,12/30/2021 16:00,12/30/2021 16:00,0,5,5,0,0,0,0,0,5
72,Here is your weekly reminder to #KeepLearning #KeepWinning 🚀,12/29/2021 16:00,12/29/2021 16:00,0,6,6,0,0,0,0,0,6
73,"If you didn't get a chance to attend the Data Science Webinar Series hosted by Zindi and Moringa University, don't worry! Now is your chance to catch up! 😁 Watch now👉https://bit.ly/3F1AvXn",12/28/2021 16:00,12/28/2021 16:00,0,4,4,0,0,0,0,0,4
74,Just under 1 month to go to make your contribution to the Zindi User Behaviour Birthday Challenge! Are you on the leaderboard?  Make a submission👉https://bit.ly/3lVeqBx,12/27/2021 16:00,12/27/2021 16:00,0,4,3,1,0,0,0,0,3
75,Happy Happy Holidayz! Zindi wishes you a fantastic festive season! 🥳✨ We want you to know that you are all vital components to the ZPU and the Zindiverse would be nothing without it's Zindians! ❤,12/24/2021 16:00,12/24/2021 16:00,0,10,10,0,0,0,0,0,10
76,#ThrowbackThursday Training BERT Text Classifier on a Tensor Processing Unit is a super awesome tutorial that will get you started on training Hugging Face's most famous model on TPU for Tunisian Arabizi Social Media Sentiment Analysis. #KeepLearning👉https://bit.ly/2XuM0WN,12/23/2021 16:00,12/23/2021 16:00,0,12,11,1,0,0,0,0,11
77,Happy Hump Day! #KeepLearning #KeepWinning #BuildingAITogether 🚀😁,12/22/2021 16:00,12/22/2021 16:00,0,4,4,0,0,0,0,0,4
78,Just under 1 month to go for the Mozilla Luganda Automatic Speech Recognition Challenge! Are you on the leaderboard? 👀 Make a submission👉https://bit.ly/3BBHNPS,12/21/2021 16:00,12/21/2021 21:03,1,8,8,0,0,0,0,0,8
80,"The holiday season is fast approaching! 😁🚀 Wondering what you're going to do during the 4th wave? Play ""while True: learn ()""! An interative game where  you play a machine learning specialist who makes neural networks but your cat seems to be better at it. 👀 Get it now👉https://bit.ly/3DWqiu3",12/20/2021 16:00,12/20/2021 16:00,0,1,1,0,0,0,0,0,1
81,"Wondering what you're looking at? You will be surprised to learn that you are catching a glimpse into the future of synthetic media. 👀 This image was generated by Dream, an AI art app that turns text prompts into new worlds! 🤩 Check it out👉https://bit.ly/3m4wF8u",12/17/2021 16:00,12/17/2021 16:00,0,2,2,0,0,0,0,0,2
82,"Rose Wambui shares her inspirations, insights and challenges in her journey from competitor to data scientist at Zindi 🤩❤  Read her story👉https://bit.ly/3s2aZOb",12/16/2021 16:00,12/16/2021 16:02,1,8,8,0,0,0,0,0,8
83,"MIT Technology Review brings you a fascinating study on the use of AI in talk therapy. Similar to sentiment analysis, they are using this technology to help make treatments more bespoke and work better. 🤩🖤 Read more👉https://bit.ly/3ylNwbE",12/15/2021 16:00,12/15/2021 16:00,0,16,14,2,0,0,0,0,14
84,"If you remember #SDG14, we are in #turtle awe of your mind! Sustainable Development Goal 14 - Life below water, is all about conserving and sustainably using the oceans, seas and marine resources for development. If you would like to learn more on this #goal and how you can positively make an impact, click here for more info👉https://bit.ly/3u5FSQK  Today is #TurtleTuesday, so head over to zindi.africa and enrol in #TurtleRecall",12/14/2021 16:00,12/14/2021 16:00,0,4,4,0,0,0,0,0,4
85,"2334 papers, 60 workshops, 8 keynote speakers, 15k+ attendees 👀🚀 #NeurIPS2021, an AI conference is here to end the year with a ‘grand finale’. Check out these 10 papers you shouldn't miss before the year ends!  Learn more👉https://bit.ly/3s5Cgz8",12/13/2021 16:00,12/13/2021 16:00,0,9,9,0,0,0,0,0,9
86,"We have a very important question for you. Let us know what your goals are for the new year, so that we can help you make it happen! 🚀✨ #KeepLearning #KeepWinning #BuildingAITogether",12/10/2021 16:00,12/10/2021 22:58,4,13,11,2,0,0,0,0,11
87,"Before the holidays begin, make sure you are kitted out with the right knowledge on how to enter a Zindi competition! If you are a new Zindian, this blog is for you! #ThrowbackThursday #KeepLearning #KeepWinning 😁✨ Get started👉https://bit.ly/3IGF5wC",12/9/2021 16:00,12/10/2021 12:43,0,4,3,1,0,0,0,0,3
88,"Do you remember Sophia the robot? The humanoid robot that addressed the UN, obtained Saudi citizenship AND sang with Jimmy Fallon, is now expanding into the metaverse as an NFT. What are your thoughts on this? 👀🚀 Read more👉https://bloom.bg/3oAuJGt",12/8/2021 16:00,12/8/2021 16:00,0,4,3,1,0,0,0,0,3
89,Have you joined the Task Mate Kenyan Sign Language Classification Challenge yet? 🤩 A common misconception of sign language is that it is the same everywhere. Lets change this by reducing bias and increasing accessibility for the Kenyan sign language dialect!  🦾🚀 #KeepLearning #KeepWinning #BuildingAITogether  Enrol now👉https://bit.ly/3DjYPTs,12/7/2021 16:00,12/7/2021 16:00,0,7,7,0,0,0,0,0,7
90,👀,12/4/2021 21:10,12/4/2021 21:10,0,3,3,0,0,0,0,0,3
91,"Guess who's back 👀 If you are a Zindian, its time to sign up! If you are interested in showing your support as a sponsor or partner, get involved! #UHA22 #UmojaHackAfrica #BuildingAITogether  Check it out👉https://umojahack.africa/",12/3/2021 15:52,12/3/2021 15:52,0,9,8,1,0,0,0,0,8
92,"This week, we do a deepdive into one of our Knowledge challenges! 😁 If you are a beginner on Zindi, this tutorial was made for you! Check it out! 🚀 #KeepLearning👉https://bit.ly/3EjDwSu",12/2/2021 15:49,12/2/2021 15:49,0,2,2,0,0,0,0,0,2
93,"The amazing Reem Elmahdi will be taking you through an introduction of Zindi, tomorrow, 6pm EAT! Don't miss it 😁🥳 A big thank you goes to KCA UNIVERSITY for the opportunity to collaborate! RSVP now👉https://bit.ly/2ZwRxx1",12/1/2021 16:31,12/1/2021 20:49,1,16,15,1,0,0,0,0,15
94,"The all.ai 2021 Virtual Summit begins tomorrow! Intel brings you an event across 5 regions, where technology and humanity come together to find solutions for population scale challenges. 🤩🚀 Register now👉https://intel.ly/3D7c2hF",11/30/2021 16:17,11/30/2021 16:17,0,0,0,0,0,0,0,0,0
95,"Do you check Zindi every day and enter every competition? 👀 Do you want to be the first to hear about new features and help us test things out? 🔥 We're looking for people like you!  Become a #ZindiInsider, and you'll get early access to features and events, and have a chance to give us feedback about what works and what doesn't on the platform. Have your say in the future direction of our platform! 🤩🚀 Follow the link to apply👉 https://bit.ly/3xCHYJx  PS: You don't have to be on the top of the leaderboard to apply! We want to hear opinions from everyone, including those who have just started on their data science journey. if you have passion for data, we want to hear from you. ❤",11/29/2021 15:41,11/29/2021 16:30,1,14,12,2,0,0,0,0,12
96,"The ZPU is adding some more components! 🤩🚀 Zindi is on a mission to be the top-of-mind platform for data scientists to learn, grow their community, and build their career. To continue #BuildingAITogether, we are expanding our amazingly cool team 😁 Check out the full job spec below and apply today! ✨🥳 Product manager👉https://bit.ly/3cVK51q UI/UX Designer👉https://bit.ly/3cTm3US Front End Developer👉https://bit.ly/3jtb4pq",11/26/2021 16:03,11/29/2021 16:29,1,11,9,2,0,0,0,0,9
97,"Abid Ali Awan is back with a great tutorial on a simple machine translation of Yorùbá to English! 🤩🚀 Check out how he got his top 20 ranking on the leaderboard, and try it out yourself! #KeepLearning👉https://bit.ly/310Ah3O",11/25/2021 15:59,11/25/2021 15:59,0,5,4,1,0,0,0,0,4
98,The Zindi User Behaviour Birthday Challenge is still going! 🥳 Have you joined the party yet? Help us make our platform better for you! #KeepLearning #KeepWinning 🔥🚀 Build AI together👉https://bit.ly/3lVeqBx,11/24/2021 16:00,12/1/2021 21:39,1,1,1,0,0,0,0,0,1
99,This is one of the most pressing questions in artificial intelligence. 👀 Can a machine learn morality? 🤔 Well researchers at a Seattle A.I. lab say they have built a system that makes ethical judgments. Read more👉https://nyti.ms/3oMUVMY,11/23/2021 15:27,11/23/2021 15:27,0,3,2,1,0,0,0,0,2
